,actively_hiring,Type_of_job,company_name,location,salary,experience
191,1.0,Customer Relations Executive,Rorosaur Foodtech Private Limited,Work from home,₹  2 - 3 LPA,0-2 years
192,1.0,IT Technical Writer,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
193,1.0,Junior Social Media Marketing Associate,Gigde Global Solutions Private Limited,Ghaziabad,₹  3 - 4 LPA,0-2 years
194,1.0,Tracking Executive (Control Tower),Zigsaw Consultancy,Pune,₹  2.4 LPA,0-2 years
195,1.0,Data Engineer,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
196,1.0,Full Stack Developer,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
197,,HR Associate,Auto Mechanics,Work from home,₹  2.4 - 3 LPA,0-2 years
198,1.0,Assistant HR Manager,Density Exchange,Bangalore,₹  3 - 5.5 LPA,0-5 years
199,1.0,Graphic Designer,Redwood Algorithms,Work from home,₹  2 - 4 LPA,0-2 years
200,1.0,Backend Developer,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
201,1.0,Front-end Developer,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
202,1.0,Techical Business Analyst,Across The Globe (ATG),Work from home,₹  3 - 5 LPA,0-5 years
203,1.0,IT Operations Manager,StudyMonk,Chennai,₹  4 - 6 LPA,0-5 years
204,,International Marketing Executive,EPP Composites,Work from home,₹  8.8 LPA,0-5 years
205,,Human Resources (HR) Executive,Next Education India Private Limited,Hyderabad,₹  2 - 2.1 LPA,0-2 years
206,1.0,Anchor And Event Coordinator,Marpu Foundation,Hyderabad,₹  2 - 3 LPA,0-2 years
207,1.0,Business Development Associate,BYJU'S The Learning App,Chandigarh,₹  4 - 5 LPA,0-5 years
208,,Associate Telecaller,Geetanjali Institute,Work from home,₹  2 - 3 LPA,0-2 years
209,,Associate Accountant,Shethia And Associates,Mumbai,₹  2 - 3 LPA,0-2 years
210,1.0,Operations & Supply Chain Executive,Pereyan LLP,Bangalore,₹  2.4 - 4 LPA,0-2 years
211,1.0,Industrial Design Executive,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
212,1.0,E-Commerce Listing & Order Processing Specialist,Pereyan LLP,Bangalore,₹  2.4 - 3.5 LPA,0-2 years
